ID,name,latitude,longitude,rdc,Column1
64072,MEYERS,38.87719,-119.986122,0, 
64241,PINENUT,38.896339,-119.696098,0, 
65490,EHUNTR1,38.910309,-111.251968,0,Sierra Pacific Power Co
65495,EHUNTR2,38.910309,-111.251968,0,Sierra Pacific Power Co
65500,EHUNTR3,38.910309,-111.251968,0,Sierra Pacific Power Co
65510,EMERY,38.910309,-111.251968,0,Sierra Pacific Power Co
65515,EMERY,38.910309,-111.251968,0,Sierra Pacific Power Co
65516,EMERY,38.910309,-111.251968,0,Sierra Pacific Power Co
64102,STATELN,38.95229,-119.941933,0, 
64075,MINDEN,38.955109,-119.76342,0, 
64845,MINDEN T2,38.95636,-119.763206,0, 
64730,KINGSBRY,38.958069,-119.886497,0, 
64022,BUCKEY24,38.96352,-119.710159,0, 
640115,RAWHIDE,38.966709,-118.340347,0, 
64003,MASON,38.967529,-119.204025,0, 
640002,MINDEN T,38.969769,-119.760841,0, 
640005,MULLER,38.976631,-119.794739,0, 
64092,RNDHILL,38.980381,-119.929741,0, 
66413,TAMARISK,38.987156,-110.136749,0,Sierra Pacific Power Co
66414,TAMARISK,38.987156,-110.136749,0,Sierra Pacific Power Co
640114,SCHEELITE T,39.004131,-118.322807,0, 
640116,SCHEELITE,39.004131,-118.322807,0, 
66415,SPHINXT,39.025757,-110.300781,0,Sierra Pacific Power Co
64453,DOWNS,39.04261,-119.696281,0, 
640003,HEYBOURNE,39.059052,-119.75869,0, 
64089,OVRLNDTP,39.086849,-119.695633,0, 
64124,UTAH-NEV,39.088261,-114.043518,0, 
64234,GLENBROK,39.089401,-119.9338,0, 
640130,SPRING VAL,39.097771,-114.499977,0, 
64531,OSCEOL,39.09882,-114.500076,0, 
64340,APPLESLR,39.127121,-119.137848,0, 
640001,GLENBROK T,39.127312,-119.780479,0, 
64088,OVERLAND,39.127838,-119.754753,0, 
64054,FTCHUR,39.130531,-119.13131,0, 
64507,FAIRVW_S,39.151852,-119.749313,0, 
64233,CURRYSTT,39.152,-119.768013,0, 
66210,PAVANT,39.153793,-112.362854,0,Sierra Pacific Power Co
66211,PAVANT,39.153793,-112.362854,0,Sierra Pacific Power Co
69720,ARAPAHOE,39.153793,-112.362854,0,Sierra Pacific Power Co
69721,PAVSOL_LS,39.153793,-112.362854,0,Sierra Pacific Power Co
69722,PAVSOL_COL,39.153793,-112.362854,0,Sierra Pacific Power Co
69723,PAVANTSOL,39.153793,-112.362854,0,Sierra Pacific Power Co
69770,BASELINE,39.153793,-112.362854,0,Sierra Pacific Power Co
69771,BASELINE,39.153793,-112.362854,0,Sierra Pacific Power Co
69772,BASELINE_CO,39.153793,-112.362854,0,Sierra Pacific Power Co
69773,BASELINE_SG,39.153793,-112.362854,0,Sierra Pacific Power Co
69774,PAVANTTAP,39.153793,-112.362854,0,Sierra Pacific Power Co
69775,CHAUTAUGUA,39.153793,-112.362854,0,Sierra Pacific Power Co
69776,CHAUTAUGUA,39.153793,-112.362854,0,Sierra Pacific Power Co
69777,CHAUT_COL,39.153793,-112.362854,0,Sierra Pacific Power Co
69778,CHAUT_SG,39.153793,-112.362854,0,Sierra Pacific Power Co
64033,CURRY ST,39.158489,-119.768211,0, 
68168,BLACKROC,39.159828,-112.715225,0,Sierra Pacific Power Co
68169,BLACKROC,39.159828,-112.715225,0,Sierra Pacific Power Co
64110,TAHOCITY,39.165878,-120.144569,0, 
64026,CARSON,39.172588,-119.759407,0, 
64020,BRUNSWICK,39.188911,-119.697273,0, 
64167,DAYTONTP,39.189301,-119.584503,0, 
64450,EMERSON,39.19191,-119.758583,0, 
64165,SQUWVALY,39.205601,-120.201347,0, 
64027,CARSONT,39.225819,-119.75708,0, 
64500,SALTWELL T,39.226898,-118.591339,0, 
64194,DAYTON,39.229462,-119.563766,0, 
30025,MAXWEL,39.237362,-122.276169,0,SVP
64063,INCLINE,39.239479,-119.924217,0, 
64064,KINGBEAC,39.24538,-120.027657,0, 
64424,NORTSTAR,39.280739,-120.112587,0, 
64501,SALTWLLS,39.294788,-118.571213,0, 
64306,MARKTWAI,39.303082,-119.546257,0, 
64242,VIRGINIA,39.310242,-119.645287,0, 
64107,SUMMITSP,39.317539,-120.328972,0, 
640044,DONNER,39.327301,-120.281807,0, 
64172,MARTVALY,39.32954,-120.170029,0, 
64122,TRUCKEE,39.330379,-120.181198,0, 
65935,MCFADDEN,39.334396,-110.990707,0,Sierra Pacific Power Co
65936,MCFADDEN,39.334396,-110.990707,0,Sierra Pacific Power Co
64667,621T,39.335622,-120.182822,0, 
64123,N TRUCKEE,39.33567,-120.184128,0, 
64666,621L,39.336322,-120.17754,0, 
64310,GONDER,39.33654,-114.80732,0, 
64111,TDPUD,39.337311,-120.221283,0, 
640043,TAHOE DONNER,39.337311,-120.221283,0, 
64243,GLENSHIR,39.352242,-120.086258,0, 
18896,RSHASC1,39.356369,-115.165787,0, 
64895,ROBSUMM,39.35862,-115.172577,0, 
64664,ANDRESENT,39.363367,-120.074951,0, 
64246,STAGCOCH,39.363461,-119.374817,0, 
64144,CAITHNES,39.370178,-119.766502,0, 
64665,ANDRESEN,39.37332,-120.029174,0, 
640030,PROSSER DAM,39.379372,-120.135818,0, 
65795,HUNTNG1,39.382584,-111.084938,0,Sierra Pacific Power Co
65800,HUNTNG2,39.382584,-111.084938,0,Sierra Pacific Power Co
65805,HUNTNGTN,39.382584,-111.084938,0,Sierra Pacific Power Co
65810,HUNTNGTN,39.382584,-111.084938,0,Sierra Pacific Power Co
65811,HUNTNGTN,39.382584,-111.084938,0,Sierra Pacific Power Co
64466,GALENA,39.391319,-119.754227,0, 
64157,FARWST,39.39534,-119.747978,0, 
64104,STEAMBOT,39.395821,-119.753479,0, 
64156,HOBARTTP,39.400051,-120.149887,0, 
640214,SOUTHMED,39.409386,-119.71389,0, 
64097,SLVR_SPR,39.41827,-119.223106,0, 
64561,WESTSIDE,39.42358,-118.723396,0, 
640033,RUSSELL VLY,39.437641,-120.143066,0, 
66015,MOUNDSW,39.441956,-110.475151,0,Sierra Pacific Power Co
68069,LILAT,39.441956,-110.475151,0,Sierra Pacific Power Co
64077,MIRALMA,39.45541,-119.717743,0, 
64494,614H,39.459911,-118.875221,0, 
64145,FALLON,39.460121,-118.784149,0, 
64552,LAHTCID,39.46418,-119.064346,0, 
64486,TRW,39.464451,-119.569908,0, 
64977,BABBST,39.46743,-118.782509,0, 
640031,STAMPEDE,39.46748,-120.105133,0, 
64066,LAHONTAN,39.46756,-119.063187,0, 
64155,STAMPDTP,39.470409,-120.104637,0, 
64308,ALPINE,39.47084,-117.822861,0, 
640032,STAMPEDE DAM,39.471241,-120.105141,0, 
64146,CRKRD TP,39.475109,-118.734413,0, 
64010,BELVISTA,39.47625,-119.762047,0, 
65167,BLACKHWK,39.476955,-111.000069,0,Sierra Pacific Power Co
65168,BLACKHWK,39.476955,-111.000069,0,Sierra Pacific Power Co
64558,NEV ST,39.477669,-118.775749,0, 
640026,CENTENNIAL,39.478271,-118.789528,0, 
64079,MTROSE,39.478321,-119.857368,0, 
64493,615I,39.4799,-118.813728,0, 
64529,CROOK RD,39.481899,-118.734177,0, 
64784,GOOSEBRY,39.483341,-119.465736,0, 
64551,26DROP,39.484638,-118.90361,0, 
64559,RY COUCH,39.486439,-118.876053,0, 
64485,MEADOWS,39.495704,-119.437073,0, 
64002,AIRPORT,39.49604,-119.789513,0, 
64584,NORWAY,39.497889,-119.43281,0, 
64563,26DROPT,39.49966,-118.903168,0, 
64045,FRONTIRS,39.50597,-116.859177,0, 
64136,WASHOE,39.50629,-119.933853,0, 
64554,RAGTOWN,39.512508,-118.931549,0, 
64418,SWITCH,39.514653,-119.479722,0, 
64091,RENO_24,39.519581,-119.82756,0, 
64057,GREGSTRT,39.519699,-119.723572,0, 
64416,WILD HORSE,39.519722,-119.476111,0, 
65355,COLUMBIA,39.520374,-110.390266,0,Sierra Pacific Power Co
65356,COLUMBIA,39.520374,-110.390266,0,Sierra Pacific Power Co
66445,SUNNYG1,39.520374,-110.390266,0,Sierra Pacific Power Co
66450,SUNNYSID,39.520374,-110.390266,0,Sierra Pacific Power Co
64025,CALSUB,39.521221,-120.008759,0, 
64055,GLENDA24,39.522678,-119.769318,0, 
64006,AUSTIN,39.526699,-117.090157,0, 
64037,RUSTYSPK,39.529499,-119.806488,0, 
64997,TESLA,39.539928,-119.437035,0, 
64495,HAZEN,39.541222,-119.075188,0, 
64084,NORTHWST,39.541519,-119.865761,0, 
64069,MACHACEK,39.544941,-115.973747,0, 
64147,STILLWTR-HV,39.5471,-118.555832,0, 
65855,JERUSALM,39.550613,-111.597374,0,Sierra Pacific Power Co
65856,JERUSALM,39.550613,-111.597374,0,Sierra Pacific Power Co
64313,JHARDIE,39.553421,-119.503029,0, 
64127,VAL_ROAD,39.554008,-119.807159,0, 
64143,SODAPH2,39.554981,-118.838577,0, 
64196,KAISER,39.55521,-119.533371,0, 
64963,CHUKAR,39.556414,-119.435771,0, 
64166,KAISERTP,39.556839,-119.5401,0, 
64745,PATRICK,39.556839,-119.5401,0, 
64305,NANIWA,39.55751,-119.515327,0, 
64128,N_VAL_RD,39.558201,-119.806511,0, 
64463,DOVE,39.560009,-119.513237,0, 
64400,PENNYSTP,39.560421,-119.845253,0, 
64951,W_TRACY,39.5611,-119.528358,0, 
64028,CLRK_MTN,39.562981,-119.519173,0, 
64115,TRACY E,39.562981,-119.519173,0, 
64114,TRACY,39.563931,-119.522697,0, 
64581,NEWTON,39.567172,-119.552803,0, 
64099,SPAN_SPG,39.571468,-119.737732,0, 
64413,PAH_RAH,39.572182,-119.532906,0, 
640170,TURQUOISE,39.572182,-119.532906,0, 
64040,EAGLTP,39.578251,-119.21254,0, 
65953,MATHNTON,39.582672,-110.728218,0,Sierra Pacific Power Co
65957,MATHNTON,39.582672,-110.728218,0,Sierra Pacific Power Co
65963,MATHNSVC,39.582672,-110.728218,0,Sierra Pacific Power Co
64477,PATUA,39.583611,-119.077187,0, 
64459,FERNLEY,39.59071,-119.249062,0, 
64955,MCGINESS,39.591331,-116.912827,0, 
64458,LONELY,39.596909,-119.208893,0, 
64480,I80 TAP,39.616096,-119.258385,0, 
64085,NV CMENT,39.620392,-119.262039,0, 
64039,EAGLE,39.621349,-119.208557,0, 
64556,KENNMETL,39.633511,-118.797142,0, 
64093,SLVRLAKE,39.637451,-119.89064,0, 
640019,PENNYS1,39.637501,-119.888947,0, 
640020,PENNYS2,39.637501,-119.888947,0, 
64154,SIERRABK,39.646141,-120.217941,0, 
64940,WADSWORT,39.652111,-119.329941,0, 
64103,STEAD,39.652699,-119.885841,0, 
64017,BRDRTNPS,39.656151,-120.003998,0, 
64018,BORDRTWN,39.656151,-120.003998,0, 
640017,HOWMET,39.6577,-119.884193,0, 
640018,PRECISION,39.658112,-119.885223,0, 
64153,LOYALTON,39.66806,-120.242996,0, 
640034,LOYALTON GEN,39.66806,-120.242996,0, 
640035,CEMETERY,39.670731,-120.248016,0, 
64924,TUNGSTEN,39.671539,-117.689598,0, 
64925,OLINGHOUSE,39.671765,-119.370024,0, 
64515,SUGRLF,39.681381,-119.714272,0, 
64555,617T,39.690022,-118.919563,0, 
64516,RED_ROCK,39.701692,-119.90418,0, 
65755,HELPER,39.702709,-110.870216,0,Sierra Pacific Power Co
65756,HELPER,39.702709,-110.870216,0,Sierra Pacific Power Co
65760,HELPERT,39.702709,-110.870216,0,Sierra Pacific Power Co
65952,HEYS,39.702709,-110.870216,0,Sierra Pacific Power Co
65280,CARBON,39.727127,-110.862228,0,Sierra Pacific Power Co
66183,PANTHER,39.733513,-110.849007,0,Sierra Pacific Power Co
66707,HORIZON,39.733513,-110.849007,0,Sierra Pacific Power Co
64034,DESRT_PK,39.75309,-118.954063,0, 
64905,MARBLE,39.756969,-120.370842,0, 
64036,DESRT_TP,39.778912,-119.039619,0, 
640036,PLUMAS RPTR,39.780338,-120.419472,0, 
640180,DIXIE MEADOWS,39.789284,-118.080864,0, 
64797,HOTSPGS,39.789551,-118.863518,0, 
65996,CLOVER,39.789722,-111.894165,0,Sierra Pacific Power Co
65997,CLOVER,39.789722,-111.894165,0,Sierra Pacific Power Co
65998,CLOVERT1,39.789722,-111.894165,0,Sierra Pacific Power Co
65999,HOUWELING,39.789722,-111.894165,0,Sierra Pacific Power Co
66001,CLOVERT2,39.789722,-111.894165,0,Sierra Pacific Power Co
67027,ASHGROVE,39.789722,-111.894165,0,Sierra Pacific Power Co
67829,CLOVER,39.789722,-111.894165,0,Sierra Pacific Power Co
65520,EMMAPARK,39.791847,-110.770065,0,Sierra Pacific Power Co
67945,OSOOIL,39.791847,-110.770065,0,Sierra Pacific Power Co
640004,BRADY_24,39.794479,-119.023933,0, 
64014,NGPP,39.795731,-119.01104,0, 
64906,PORTOLA,39.80394,-120.464592,0, 
66070,NEBO,39.807827,-111.830185,0,Sierra Pacific Power Co
66071,NEBO,39.807827,-111.830185,0,Sierra Pacific Power Co
64798,PARRAN,39.813389,-118.859863,0, 
65391,CURRNTC1,39.821926,-111.89579,0,Sierra Pacific Power Co
65392,CURRNTC2,39.821926,-111.89579,0,Sierra Pacific Power Co
65393,CURRNTS1,39.821926,-111.89579,0,Sierra Pacific Power Co
65394,CURRANTC,39.821926,-111.89579,0,Sierra Pacific Power Co
65995,MONA,39.823471,-111.902885,0,Sierra Pacific Power Co
69600,MONHUN_SR,39.823471,-111.902885,0,Sierra Pacific Power Co
64817,MARBBLUF,39.883968,-119.335991,0, 
64840,TONKIN,39.90387,-116.439369,0, 
640027,WREC Grass Valley,39.951138,-116.551086,0, 
66441,SUMMCRK,39.980999,-111.800835,0,Sierra Pacific Power Co
67390,SUMMITC,39.980999,-111.800835,0,Sierra Pacific Power Co
66159,RT12,40.031559,-111.729317,0,Sierra Pacific Power Co
66674,R.TRACK,40.031559,-111.729317,0,Sierra Pacific Power Co
65905,LOAFERS,40.03418,-111.673347,0,Sierra Pacific Power Co
65906,LOF1,40.03418,-111.673347,0,Sierra Pacific Power Co
65907,LOF2,40.03418,-111.673347,0,Sierra Pacific Power Co
65194,CHAPITA,40.039082,-109.41954,0,Sierra Pacific Power Co
66677,P.INDUS,40.041088,-111.753868,0,Sierra Pacific Power Co
66683,P.ID12,40.041088,-111.753868,0,Sierra Pacific Power Co
65468,D.TOWN,40.043835,-111.727913,0,Sierra Pacific Power Co
66142,DT12,40.043835,-111.727913,0,Sierra Pacific Power Co
66451,SUTERSU,40.052231,-111.724991,0,Sierra Pacific Power Co
66452,SUT,40.052231,-111.724991,0,Sierra Pacific Power Co
66678,H.TP,40.052231,-111.724991,0,Sierra Pacific Power Co
66679,HOSPITAL,40.052231,-111.724991,0,Sierra Pacific Power Co
66681,HS12,40.052231,-111.724991,0,Sierra Pacific Power Co
66152,PACO,40.052979,-111.727051,0,Sierra Pacific Power Co
66154,PACO,40.052979,-111.727051,0,Sierra Pacific Power Co
66157,PACO12,40.052979,-111.727051,0,Sierra Pacific Power Co
66141,PINDUSTP,40.060684,-111.729622,0,Sierra Pacific Power Co
66686,PSUB,40.060871,-111.730278,0,Sierra Pacific Power Co
66687,PSUB12,40.060871,-111.730278,0,Sierra Pacific Power Co
66067,NEBOPP,40.06197,-111.729736,0,Sierra Pacific Power Co
66068,NEBOPPGT,40.06197,-111.729736,0,Sierra Pacific Power Co
66069,NEBOPPST,40.06197,-111.729736,0,Sierra Pacific Power Co
66208,NEBO46,40.06197,-111.729736,0,Sierra Pacific Power Co
66209,PAYSONG,40.06197,-111.729736,0,Sierra Pacific Power Co
66212,PAYSNG1,40.06197,-111.729736,0,Sierra Pacific Power Co
66213,PAYSNG2,40.06197,-111.729736,0,Sierra Pacific Power Co
66214,PAYSNG3,40.06197,-111.729736,0,Sierra Pacific Power Co
